,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
0,@CNN,0.0,0.0,1.0,0.0,Cystic fibrosis didn't define Claire Wineland. She did. https://t.co/wdODGpQN8U https://t.co/416oCygeNU,Wed Sep 05 02:16:00 +0000 2018,1
1,@CNN,-0.3818,0.115,0.885,0.0,"Bob Woodward reveals Donald Trump as the ""King Baby of presidents, a man who is incapable of rising to the demands… https://t.co/pUkABBbEhk",Wed Sep 05 02:08:02 +0000 2018,2
2,@CNN,-0.3612,0.175,0.717,0.108,"After three years in the trenches of Facebook's war against disinformation, former security chief Alex Stamos says… https://t.co/eguj2avbw9",Wed Sep 05 02:01:00 +0000 2018,3
3,@CNN,0.0,0.0,1.0,0.0,RT @CuomoPrimeTime: “You can't keep breaking every rule of decency and not think it's going to come to bite you in the behind at some point…,Wed Sep 05 01:55:49 +0000 2018,4
4,@CNN,0.3818,0.0,0.833,0.167,"Amazon is officially a $1 trillion company. Less than a year ago, it was worth half of what it is now.… https://t.co/Nke57AAbW2",Wed Sep 05 01:51:00 +0000 2018,5
5,@CNN,-0.3818,0.126,0.874,0.0,"RT @CuomoPrimeTime: “There's a wave sweeping through this party,” @VanJones68 reflects on yet another Democratic primary upset, this time i…",Wed Sep 05 01:48:48 +0000 2018,6
6,@CNN,-0.6808,0.248,0.752,0.0,"10-term Rep. Michael Capuano has conceded defeat to Boston city councilor Ayanna Pressley, the latest upset to rock… https://t.co/oW5xcw6lvf",Wed Sep 05 01:42:36 +0000 2018,7
7,@CNN,0.0,0.0,1.0,0.0,This Harry's factory in Germany makes 3 million razor blades -- every single day https://t.co/MELRtwCDht https://t.co/C0Zr2FiWgy,Wed Sep 05 01:41:00 +0000 2018,8
8,@CNN,0.0,0.0,1.0,0.0,"Nike's stock fell after it unveiled a new ad campaign featuring Colin Kaepernick, the former San Francisco 49ers qu… https://t.co/PC6cUSd4o8",Wed Sep 05 01:36:09 +0000 2018,9
9,@CNN,0.0772,0.086,0.817,0.097,"There's no place like home. A pair of ruby slippers Judy Garland wore in ""The Wizard of Oz"" were found 13 years aft… https://t.co/WjWApo8wfH",Wed Sep 05 01:31:00 +0000 2018,10
