,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
0,@nytimes,0.0,0.0,1.0,0.0,A panel of federal judges that deemed North Carolina’s congressional maps to be unconstitutionally gerrymandered ru… https://t.co/sDqU7xJrv2,Wed Sep 05 02:17:01 +0000 2018,1
1,@nytimes,0.4939,0.0,0.856,0.144,RT @AsteadWesley: Your friendly reminder that Ayanna Pressley will now become first minority to ever represent Massachusetts in the House..…,Wed Sep 05 02:02:04 +0000 2018,2
2,@nytimes,0.0,0.0,1.0,0.0,See full results and maps from the Massachusetts primaries https://t.co/03HtSlhAkS,Wed Sep 05 01:52:00 +0000 2018,3
3,@nytimes,0.743,0.0,0.704,0.296,"The Times profiled Ayanna Pressley this weekend, before her primary win tonight. She promised “activist leadership”… https://t.co/fHLNICatvq",Wed Sep 05 01:43:00 +0000 2018,4
4,@nytimes,0.2732,0.112,0.73,0.159,"Breaking News: In a major primary upset, Ayanna Pressley won her insurgent House bid in Massachusetts after the Dem… https://t.co/K6ocIzx4aU",Wed Sep 05 01:34:34 +0000 2018,5
5,@nytimes,0.3818,0.0,0.88,0.12,"RT @PamelaPaulNYT: ""Brennan-Jobs is a deeply gifted writer."" The New York Times Book Review on Lisa Brennan-Jobs's stunning new memoir, SMA…",Wed Sep 05 01:22:03 +0000 2018,6
6,@nytimes,0.0,0.0,1.0,0.0,Massachusetts primary election live results https://t.co/WJPkWapDPE,Wed Sep 05 01:12:05 +0000 2018,7
7,@nytimes,0.0,0.0,1.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/LzP8EnyN36,Wed Sep 05 01:02:02 +0000 2018,8
8,@nytimes,0.7717,0.0,0.729,0.271,"In Opinion

In an op-ed video, Disneyland employees explain why they love working at the amusement park and resort… https://t.co/GWxBL9IlAd",Wed Sep 05 00:47:04 +0000 2018,9
9,@nytimes,0.4939,0.0,0.882,0.118,"RT @nytclimate: “At 10:51 p.m. the heat index was 95 — that’s pretty incredible. That’s a hot heat index in the middle of the summer, in th…",Wed Sep 05 00:31:03 +0000 2018,10
